Frame,Contour ID,Length
1,12670,10.884
1,12672,1.754
1,12681,0.106
1,12685,11.691
1,12699,0.216
1,12704,0.112
1,12719,0.099
1,12741,0.108
1,12749,0.217
1,12752,0.108
1,12755,7.125
1,12757,0.227
1,12770,0.219
1,12784,7.363
1,12794,0.101
1,12799,25.028
1,12802,3.814
1,12807,4.357
1,12814,0.118
1,12817,1.335
1,12820,0.121
1,12826,1.946
1,12836,0.218
1,12844,0.109
1,12846,11.473
1,12854,0.826
1,12867,0.205
1,12869,4.012
1,12873,1.462
1,12879,0.187
1,12881,0.219
1,12888,0.310
1,12910,0.233
1,12914,2.247
1,12920,4.123
1,12943,0.111
1,12959,1.755
1,12976,0.256
1,12989,0.108
1,13001,1.147
1,13008,0.220
1,492,3.792
1,13014,1.163
1,13019,0.108
1,13027,1.441
1,13036,1.335
1,13039,0.219
1,13043,5.209
1,13067,0.220
1,13076,5.476
1,13081,5.518
1,13091,1.826
1,13192,0.417
1,13211,0.153
1,13239,0.363
1,13249,2.034
1,13264,11.234
1,13269,6.914
1,13287,0.102
1,13291,8.030
1,13296,0.228
1,13300,6.359
1,13313,8.593
1,13327,1.622
1,13335,1.206
1,13342,0.277
1,13346,7.928
1,13359,0.243
1,13361,5.739
1,13371,0.186
1,13383,1.191
1,13389,0.101
1,13395,5.711
1,13401,5.553
1,13405,2.547
1,13415,6.792
1,13426,0.598
1,13432,0.104
1,13434,0.748
1,13454,1.990
1,13461,6.904
1,13478,8.493
1,13484,1.383
1,13490,0.618
1,13516,3.171
1,13528,0.080
1,13538,0.194
1,13545,2.905
1,13550,18.087
1,13560,0.223
1,13563,8.121
1,13565,13.802
1,689,18.523
1,13568,0.192
1,13571,0.101
1,13574,6.921
1,698,8.236
1,13580,4.887
1,13585,5.475
1,13592,0.109
1,13595,0.222
1,13600,3.177
1,13608,1.973
1,13612,0.215
1,13614,6.104
1,13621,2.353
1,13627,0.274
1,13634,0.218
1,13636,0.217
1,13642,0.191
1,13653,6.045
1,13663,13.603
1,13670,0.135
1,13684,0.109
1,13700,0.334
1,13704,0.330
1,13714,0.102
1,13719,4.880
1,13736,1.120
1,13742,1.489
1,13750,0.111
1,13755,9.312
1,13762,0.114
1,13770,3.535
1,13775,0.289
1,13790,0.247
1,13801,15.094
1,1215,2.356
1,13821,2.578
1,13826,1.431
1,13834,0.194
1,13844,1.091
1,13848,1.878
1,13865,0.112
1,13870,1.771
1,13888,0.108
1,13903,1.478
1,13915,2.675
1,13934,4.319
1,13963,1.306
1,13971,8.803
1,13978,1.538
1,1293,10.003
1,13985,8.123
1,13989,0.757
1,1300,11.711
1,13995,4.361
1,14000,11.530
1,14018,3.969
1,14024,0.251
1,14028,0.218
1,1316,2.405
1,1322,15.904
1,14038,0.112
1,14043,5.239
1,14057,0.094
1,14067,0.099
1,14082,3.584
1,14099,1.576
1,14103,0.439
1,14107,2.634
1,1366,1.914
1,1367,1.317
1,14132,0.207
1,14142,9.693
1,1378,1.452
1,14146,0.251
1,14166,2.965
1,14176,1.086
1,14181,3.210
1,14192,0.144
1,1400,1.682
1,14201,0.276
1,14210,1.124
1,14238,1.174
1,14267,7.679
1,1442,4.322
1,14276,0.271
1,1447,3.947
1,14283,2.139
1,14299,8.641
1,14322,0.089
1,14332,0.261
1,14338,10.243
1,14349,0.388
1,14366,0.104
1,14380,11.096
1,14389,0.948
1,14400,0.578
1,1508,0.988
1,14406,5.588
1,1515,6.037
1,14415,4.093
1,14420,0.218
1,14451,0.108
1,14463,0.442
1,2134,2.524
1,14476,5.042
1,14485,5.369
1,14493,0.080
1,14498,1.206
1,14503,5.344
1,14511,0.110
1,2366,2.270
1,14516,3.424
1,14525,8.882
