Frame,Contour ID 1,Contour ID 2,X,Y
1,12670,492,50,145
1,12670,12669,50,145
1,12672,13081,45,193
1,12672,12671,45,193
1,12681,5128,41,152
1,12681,12680,41,152
1,12685,15216,56,15
1,12685,12684,56,15
1,12699,10895,98,165
1,12699,12698,98,165
1,12704,4885,59,38
1,12704,12703,59,38
1,12719,6592,34,28
1,12719,12718,34,28
1,12741,15493,69,185
1,12741,12740,69,185
1,12749,10579,55,218
1,12749,12748,55,218
1,12752,10422,48,176
1,12752,10563,48,176
1,12752,12751,48,176
1,12755,2457,82,178
1,12755,12754,82,178
1,12755,12731,76,176
1,12755,12732,76,176
1,12757,6809,67,179
1,12757,12756,67,179
1,12770,10760,90,165
1,12770,12769,90,165
1,12784,4825,64,18
1,12784,12783,64,18
1,12784,12707,58,20
1,12784,12708,58,20
1,12794,17435,58,83
1,12794,12793,58,83
1,12799,12798,63,58
1,12799,15334,63,58
1,12802,17320,46,96
1,12802,10472,46,96
1,12802,12801,46,96
1,12807,11259,64,217
1,12807,12806,64,217
1,12807,12745,64,212
1,12807,12746,64,212
1,12814,8843,61,170
1,12814,12813,61,170
1,12817,5360,37,28
1,12817,12816,37,28
1,12817,12713,36,28
1,12817,12714,36,28
1,12820,17134,52,189
1,12820,12819,52,189
1,12826,10872,41,112
1,12826,12825,41,112
1,12836,7179,92,180
1,12836,12835,92,180
1,12844,11241,85,183
1,12844,12843,85,183
1,12846,12869,108,176
1,12846,12845,108,176
1,12846,12839,97,178
1,12846,12840,97,178
1,12854,4975,114,175
1,12854,12853,114,175
1,12854,12693,113,175
1,12854,12694,113,175
1,12867,10600,115,126
1,12867,12866,115,126
1,12869,5624,111,175
1,12869,12868,111,175
1,12869,12845,108,176
1,12873,12872,78,166
1,12873,13771,78,166
1,12873,12728,76,165
1,12873,12729,76,165
1,12879,7132,81,181
1,12879,12878,81,181
1,12881,5902,68,219
1,12881,12880,68,219
1,12888,5101,65,106
1,12888,12887,65,106
